2011-01-02 07:54:01 startup packages remove
2011-01-02 07:54:01 status installed mysql-server 5.0.51a-24+lenny2
2011-01-02 07:54:02 remove mysql-server 5.0.51a-24+lenny2 5.0.51a-24+lenny2
2011-01-02 07:54:02 status half-configured mysql-server 5.0.51a-24+lenny2
2011-01-02 07:54:02 status half-installed mysql-server 5.0.51a-24+lenny2
2011-01-02 07:54:03 status config-files mysql-server 5.0.51a-24+lenny2
2011-01-02 07:54:03 status config-files mysql-server 5.0.51a-24+lenny2
2011-01-02 07:54:03 status config-files mysql-server 5.0.51a-24+lenny2
2011-01-02 07:54:03 status not-installed mysql-server <none>
2011-01-02 07:57:15 startup packages remove
2011-01-02 07:57:15 status installed mysql-client 5.0.51a-24+lenny2
2011-01-02 07:57:16 remove mysql-client 5.0.51a-24+lenny2 5.0.51a-24+lenny2
2011-01-02 07:57:16 status half-configured mysql-client 5.0.51a-24+lenny2
2011-01-02 07:57:16 status half-installed mysql-client 5.0.51a-24+lenny2
2011-01-02 07:57:17 status config-files mysql-client 5.0.51a-24+lenny2
2011-01-02 07:57:17 status config-files mysql-client 5.0.51a-24+lenny2
2011-01-02 07:57:17 status config-files mysql-client 5.0.51a-24+lenny2
2011-01-02 07:57:17 status not-installed mysql-client <none>
2011-01-02 08:03:58 startup packages remove
2011-01-02 08:03:58 status installed mysql-server-5.0 5.0.51a-24+lenny2
2011-01-02 08:03:58 remove mysql-server-5.0 5.0.51a-24+lenny2 5.0.51a-24+lenny2
2011-01-02 08:03:58 status half-configured mysql-server-5.0 5.0.51a-24+lenny2
2011-01-02 08:04:01 status half-installed mysql-server-5.0 5.0.51a-24+lenny2
2011-01-02 08:04:02 status triggers-pending man-db 2.5.2-4
2011-01-02 08:04:02 status half-installed mysql-server-5.0 5.0.51a-24+lenny2
2011-01-02 08:04:04 status config-files mysql-server-5.0 5.0.51a-24+lenny2
2011-01-02 08:04:05 status config-files mysql-server-5.0 5.0.51a-24+lenny2
2011-01-02 08:04:05 status installed plogger 3.2-1
2011-01-02 08:04:05 remove plogger 3.2-1 3.2-1
2011-01-02 08:04:05 status half-configured plogger 3.2-1
2011-01-02 08:04:06 status half-installed plogger 3.2-1
2011-01-02 08:04:06 status config-files plogger 3.2-1
2011-01-02 08:04:06 status config-files plogger 3.2-1
2011-01-02 08:04:07 status config-files plogger 3.2-1
2011-01-02 08:04:07 status not-installed plogger <none>
2011-01-02 08:04:07 status installed mysql-client-5.0 5.0.51a-24+lenny2
2011-01-02 08:04:07 remove mysql-client-5.0 5.0.51a-24+lenny2 5.0.51a-24+lenny2
2011-01-02 08:04:07 status half-configured mysql-client-5.0 5.0.51a-24+lenny2
